Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7005","May","%","13.321555","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7005","May","%","7.225344","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7005","May","%","5.225325","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7005","May","%","10.658337","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7005","May","%","-2.955767","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7005","May","%","5.242233","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7005","May","%","10.723921","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7005","May","%","-3.630195","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7005","May","%","7.040566","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7005","May","%","12.924873","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23014","Food price inflation","7005","May","%","-1.59944","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7006","June","%","11.984475","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7006","June","%","22.025231","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7006","June","%","19.977881","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7006","June","%","13.139643","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7006","June","%","11.261702","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7006","June","%","5.059471","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7006","June","%","11.737634","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7006","June","%","48.254535","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7006","June","%","-19.214225","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7006","June","%","1.073549","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7006","June","%","11.05466","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7006","June","%","5.443715","Fc","Calculated data",""
